PHMA220073080033021200003,02-992-5200,서울특별시 강북구 삼각산로 20 (수유동),감인노인전문병원,200518.7313,459583.5849,요양병원(노인병원),신경과 내과
PHMA220113080033021200001,02-907-7002,서울특별시 강북구 한천로 1002 (번동),새한빛병원,202582.4663,459530.4861,병원,가정의학과 정신건강의학과 내과
PHMA219983080033021200001,02-980-1181,서울특별시 강북구 도봉로 114 (미아동),서울병원,202523.2612,457439.2095,병원,피부과 정형외과 외과 내과
PHMA220073080033021200004,02-992-5318,서울특별시 강북구 도봉로 388 (번동 테마빌딩),정인노인전문병원,202554.5854,459895.4603,요양병원(일반요양병원),침구과 한방내과 가정의학과 마취통증의학과 신경과 내과
PHMA220193080033021200001,29879988,서울특별시 강북구 월계로 183 (번동),꿈의숲요양병원,203895.66,457580.9999,요양병원(일반요양병원),내과 신경과 외과 정형외과 신경외과 재활의학과 가정의학과 침구과
PHMA220083080033021200001,02-982-3114,서울특별시 강북구 도봉로 155 서울민병원 (미아동),민병원,202240.8551,458118.7096,병원,마취통증의학과 이비인후과 비뇨의학과 산부인과 가정의학과 정형외과 외과 내과
PHMA220093080033021200001,02-992-5200,서울특별시 강북구 삼각산로 20 (수유동),현인요양병원,200518.7313,459583.5849,요양병원(일반요양병원),내과 신경과 재활의학과 가정의학과 한방내과 한방신경정신과 한방재활의학과 침구과
PHMA220073080033021200001,02-988-9456~7,서울특별시 강북구 삼양로 204 (미아동 효성요양병원),효성요양병원,201738.7194,457742.0896,요양병원(일반요양병원),한방내과 재활의학과 가정의학과 비뇨의학과 마취통증의학과 신경과 내과
PHMA220073080033021200002,02-986-9988,서울특별시 강북구 도봉로 266 (미아동),포근한요양병원,202061.2521,458882.073,요양병원(일반요양병원),한방내과 가정의학과 재활의학과 정신건강의학과 신경과 내과
PHMA220173220033021200002,02-2156-7697,서울특별시 강남구 도산대로 209 느루요양병원빌딩 지하1~2층 지상1~10층 (신사동),느루요양병원,202527.4021,446478.3296,,
PHMA220123080033021200001,02-6222-1000,서울특별시 강북구 한천로 1083 수유동 (수유동 광산타워),강북우리들병원,201930.77,460020.9817,병원,내과 영상의학과 마취통증의학과 신경외과
PHMA220143080033021200001,6927-9119,서울특별시 강북구 도봉로 114 (미아동),서울좋은병원,202523.2612,457439.2095,병원,피부과 성형외과 가정의학과 외과 마취통증의학과 내과 정형외과
PHMA220163080033021200001,02-900-7006,서울특별시 강북구 한천로 1002 북서울요양병원 (번동),북서울요양병원,202582.4663,459530.4861,,
PHMA220183080033021200001,02-982-7080,서울특별시 강북구 도봉로 161 서울컨벤션웨딩홀 (미아동),강북휴요양병원,202314.8638,457867.6586,,
PHMA220153180034021200004,02-2098-8000,서울특별시 영등포구 여의대방로 145 2~7층 (신길동 세인트빌딩),서울바른병원,192857.9283,444236.2008,,
PHMA220213230034021200001,02-1670-9111,서울특별시 송파구 위례서로 248 5~12층 (거여동),서울세계로병원,,,,
PHMA219943080033021200001,02-901-1700,서울특별시 강북구 삼각산로 58 (수유동 국립재활원),국립재활원,200868.4734,459614.3535,병원,내과 정신건강의학과 산부인과 안과 이비인후과 비뇨의학과 영상의학과 재활의학과 가정의학과 한방내과 한방재활의학과 침구과 구강내과
PHMA219953080033021200001,02-996-2828,서울특별시 강북구 도봉로 358 (번동 코스타타워),경희치과병원,202343.3875,459654.4252,치과병원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 예방치과
PHMA219823080033021200001,02-903-3232,서울특별시 강북구 도봉로 301 (수유동 대한병원),의료법인성화의료재단  대한병원,201952.0908,459227.558,종합병원,내과 외과 정형외과 신경외과 마취통증의학과 산부인과 영상의학과 진단검사의학과 재활의학과 구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 영상치의학과 구강병리과 예방치과
PHMA219823080033021200002,02-903-5121,서울특별시 강북구 덕릉로 73 (수유동),신일병원,201857.4279,459159.097,병원,비뇨의학과 정형외과 마취통증의학과 외과 내과
PHMA220013080033021200001,02-995-1025,서울특별시 강북구 도봉로 301 (수유동),의료법인성화의료재단대한한방병원,201952.0908,459227.558,한방병원,침구과 한방신경정신과 한방안?이비인후?피부과 한방소아과 한방부인과 한방내과
PHMA220123090033021200002,02-955-5545,서울특별시 도봉구 도봉로152길 26 (방학동 렉시온프라자 305-308호),슈바이처치과병원,203922.0417,462985.3399,치과병원,소아치과 치주과 치과보존과 치과교정과 치과보철과
PHMA220083090033021200001,02-990-5900,,굿모닝병원,,,병원,영상의학과 외과 내과 정신건강의학과
PHMA220103090033021200001,1577-1173,서울특별시 도봉구 삼양로 610 (쌍문동),우이새길요양병원,201167.0865,461671.4699,요양병원(일반요양병원),한방내과 외과 신경외과 가정의학과 내과
PHMA220133090033021200001,02-900-5513,서울특별시 도봉구 도봉로 639 56층 (쌍문동),정요양병원,203622.8932,462131.6667,,
PHMA220113090033021200001,02-3492-7888,서울특별시 도봉구 방학로3길 13 (방학동 상곡빌딩),(사)한국지체장애인협회 새보람요양병원,203554.8631,462195.0794,요양병원(일반요양병원),내과 신경과 정형외과 가정의학과 한방내과 한방부인과 한방소아과 한방안?이비인후?피부과 한방신경정신과 한방재활의학과 사상체질과 침구과 한방응급과
PHMA220103080033021200001,02-994-1156,서울특별시 강북구 도봉로 374 (번동 서울현대병원),서울현대병원,202451.8676,459765.522,,
PHMA219913190033021200001,02-870-2114,서울특별시 동작구 보라매로5길 20 (신대방동),서울특별시보라매병원,193235.494,443510.4208,,
PHMA220153090033021200001,02-990-2999,서울특별시 도봉구 삼양로 610 지하1층층 지상1234호 (쌍문동 산수디앤씨),베이직병원,201167.0865,461671.4699,,
PHMA220053090033021200001,02-999-9100,서울특별시 도봉구 도봉로 569 5층 (쌍문동 준우빌딩),로덴성문치과병원,203334.7675,461499.9453,치과병원,구강악안면외과 치과보철과 치과교정과 소아치과 치주과 치과보존과 구강내과 구강악안면방사선과 구강병리과 예방치과
PHMA220173030033021200001,02-2281-6636,서울특별시 성동구 왕십리로 382 (하왕십리동),서울동인병원,202403,451418,,
PHMA220103210034021200001,28320151,서울특별시 서초구 서초중앙로 197 (반포동),강남요양병원,200998.4692,444131.0255,,
PHMA220073090033021200002,02-990-3001,서울특별시 도봉구 삼양로 600 (쌍문동),조이요양병원,201155.7715,461587.6094,요양병원(일반요양병원),내과 신경과 정형외과 이비인후과 재활의학과 가정의학과 한방내과 한방재활의학과 침구과
PHMA220083100034021200003,914-2000,서울특별시 노원구 화랑로 323 (월계동30호),의선의료재단 선한이웃병원,205548.2321,456950.1521,병원,마취통증의학과 진단검사의학과 영상의학과 재활의학과 가정의학과 신경외과 정형외과 소아청소년과 외과 내과
PHMA220123090033021200001,951-0552,서울특별시 도봉구 도봉로 683 567층 (방학동),성모샘병원,203651.208,462576.5408,,
PHMA220083090033021200003,02-942-8000,서울특별시 도봉구 해등로 129 (창동),다나병원,203494.2987,461407.0571,,
PHMA220203240033021200003,02-2045-9000,서울특별시 강동구 고덕로 295-60 원케어메디컬타운 (고덕동),서울숲요양병원,214041.1856,450689.5645,,
PHMA220163090033021200001,02-2039-5099,서울특별시 도봉구 삼양로 574 2~5층 (쌍문동),서울사랑요양병원,201098.7614,461327.6266,,
PHMA220203130033021200001,02-333-3300,서울특별시 마포구 양화로 119 디키즈코리아 B1~6층 (서교동),메디람한방병원,192845.1696,450236.9622,,
PHMA220203030033021200001,070-7609-9252,서울특별시 성동구 왕십리로 382 (하왕십리동),재단법인베스티안재단베스티안서울병원,204994.182,443986.1952,,
PHMA220203180034021200001,02-6951-1192,서울특별시 영등포구 선유로 51 파인그라드빌딩 b1~8층 (문래동6가),서울삼성요양병원,190094.7188,446267.3467,,
PHMA220093090033021200001,02-2174-3344,서울특별시 도봉구 도봉로 446 강북힘찬병원 (창동),의료법인 상원의료재단 강북힘찬병원,202877.0443,460368.6744,,
PHMA220203200033021200001,02-878-8875,서울특별시 관악구 신원로 35 삼모 더 프라임 타워 37층 (신림동),바른사랑병원,193643.2743,442230.0357,,
PHMA220153070034021200001,02-911-7115,서울특별시 성북구 동소문로 215 (정릉동),새마음요양병원,201837.9248,455449.0815,,
PHMA220103100034021200002,949-3800,서울특별시 노원구 노원로 246 2346층 (하계동 욱현하이브),서울휴먼요양병원,206472.1862,459704.8857,요양병원(일반요양병원),흉부외과 가정의학과 외과 내과
PHMA220023100034021200001,938-2833,,강북예치과병원,,,치과병원,구강악안면외과
PHMA220053100034021200001,02-939-0300,서울특별시 노원구 노원로 416 모네여성병원 (상계동),모네여성병원,205922.1512,461261.6572,병원,소아청소년과 산부인과
PHMA220053100034021200002,977-7477,,연세방요양병원,,,요양병원(일반요양병원),내과
